2015-01-26 19:30:32,Bitly,Unleash the power of the link.,New York  NY,1,Want to come join our amazing team? Now is the time. http://t.co/CRgmHVo64A http://t.co/wnJYvIhXuj
2015-01-26 18:30:31,Bitly,Unleash the power of the link.,New York  NY,0,Don't have a #social media strategy? Here's why you need one. http://t.co/WzE9Ptd3L8
2015-01-26 17:30:33,Bitly,Unleash the power of the link.,New York  NY,2,Why is it so important to have a work best friend? http://t.co/qaPiolbcqN http://t.co/fIJSFMQNCM
2015-01-26 16:30:33,Bitly,Unleash the power of the link.,New York  NY,2,Do you know what your unknown traffic is? We teamed up with Facebook to give you the answer http://t.co/Bd125fsOHi http://t.co/5Nb8KYFsgp
2015-01-26 15:30:41,Bitly,Unleash the power of the link.,New York  NY,2,Learn something new this year! Here are the 15 programming languages to add to your skillset http://t.co/NSAakTRqDd
2015-01-26 14:30:39,Bitly,Unleash the power of the link.,New York  NY,6,What's the deal with #darksocial? We shed some light on the topic http://t.co/ZCHtWvxN6c http://t.co/DYVGsOoeS2
2015-01-26 00:30:37,Bitly,Unleash the power of the link.,New York  NY,0,Does your brand use @Snapchat? Watch how our friends at @amazon do it right. http://t.co/8XULxwPNqG
2015-01-25 23:30:32,Bitly,Unleash the power of the link.,New York  NY,1,We shed some light on #darksocial http://t.co/ZCHtWvxN6c http://t.co/HyQNP9bY1L
2015-01-24 19:40:33,Bitly,Unleash the power of the link.,New York  NY,1,We're thrilled to have @markjosephson join the @BBI Board of Directors! http://t.co/xUOm5R0vBF http://t.co/6wM4EOHqBV
2015-01-23 22:30:33,Bitly,Unleash the power of the link.,New York  NY,0,Do you know what your unknown traffic is? We teamed up with Facebook to give you the answer http://t.co/Bd125fsOHi http://t.co/zddOkxjSh0
2015-01-23 22:30:31,Bitly,Unleash the power of the link.,New York  NY,4,Want to work at a startup? Your work history may not matter as much as these other qualities http://t.co/19FeCgaNdk
2015-01-23 21:30:31,Bitly,Unleash the power of the link.,New York  NY,1,4 ways #social drives business development as told by @hanser_ja http://t.co/PRWxrrdH8r
2015-01-23 20:30:41,Bitly,Unleash the power of the link.,New York  NY,1,Strong company culture means your job is more than a job. http://t.co/v1aOEVy8ly http://t.co/t5EC1vChjH
2015-01-23 19:30:31,Bitly,Unleash the power of the link.,New York  NY,0,Social Media During the Super Bowl: A Second Screen Playbook http://t.co/Mz9VA1qDhF
2015-01-23 17:30:45,Bitly,Unleash the power of the link.,New York  NY,2,We shed some light on #darksocial http://t.co/ZCHtWvxN6c http://t.co/xLLZ6OJ0oN
2015-01-23 16:31:37,Bitly,Unleash the power of the link.,New York  NY,1,The three digital marketing skills you didn't learn in school http://t.co/DzRL9HhD9a
2015-01-23 15:30:37,Bitly,Unleash the power of the link.,New York  NY,0,What was @Jehiah up to in 2014? You can find out in his Annual Report http://t.co/PGsD1QQhKd
2015-01-23 14:30:47,Bitly,Unleash the power of the link.,New York  NY,3,Does your brand use @Snapchat? Watch how our friends at @amazon do it right. http://t.co/8XULxwPNqG
2015-01-22 22:29:10,Bitly,Unleash the power of the link.,New York  NY,0,What's your New Year's resolution? Here are the 15 programming languages to add to your skillset http://t.co/NSAakTRqDd
2015-01-22 21:30:45,Bitly,Unleash the power of the link.,New York  NY,1,Does your brand use @Snapchat? Watch how our friends at @amazon do it right. http://t.co/8XULxwPNqG
2015-01-22 20:30:34,Bitly,Unleash the power of the link.,New York  NY,0,5 ways to rock your brand's Instagram page http://t.co/0gwdBZr1ne
2015-01-22 18:30:54,Bitly,Unleash the power of the link.,New York  NY,1,View From My Desk: Data Analyst  Randy Au has a go with the flow mentality about data science...and cooking http://t.co/gixqOgBbUb
2015-01-22 17:58:19,Bitly,Unleash the power of the link.,New York  NY,9,RT @bbi: The @BBI Board of Directors is bolstered by new members @justindegraaf (@CocaColaCo) @markjosephson (@Bitly) &amp; @Flygirltwo (@sheff...
2015-01-22 17:55:22,Bitly,Unleash the power of the link.,New York  NY,2,We're so proud and excited to have @markjosephson join the @bbi board! Read all about it http://t.co/xUOm5R0vBF http://t.co/dX06Buqak7
2015-01-22 17:30:40,Bitly,Unleash the power of the link.,New York  NY,0,Feeling a rut on what to post? Here are 7 ways to energize your social content http://t.co/F8M5PKwbrG
2015-01-22 16:30:36,Bitly,Unleash the power of the link.,New York  NY,1,4 ways to connect your #social to your #bizdev http://t.co/PRWxrrdH8r
2015-01-22 15:30:43,Bitly,Unleash the power of the link.,New York  NY,1,What you may not know about dark social http://t.co/ZCHtWvxN6c http://t.co/KDUNClIsQu
2015-01-22 14:26:11,Bitly,Unleash the power of the link.,New York  NY,2,Social Media During the Super Bowl: A Second Screen Playbook http://t.co/Mz9VA1qDhF
2015-01-21 21:30:38,Bitly,Unleash the power of the link.,New York  NY,2,Back to the Future II predicted the Microsoft HoloLens for 2015. What other predictions are coming true? http://t.co/4RnSyZwyw9
2015-01-21 20:30:32,Bitly,Unleash the power of the link.,New York  NY,1,The Rules of Engagement...on Facebook http://t.co/VFEl9bve4m
2015-01-21 19:01:48,Bitly,Unleash the power of the link.,New York  NY,0,Break into tech. Come watch @georgicodes tell her story with @NYCGeekettes http://t.co/iGLOoaWWrB  #WomenInTech
